"房间名称","楼层","顶点序号","X","Y","图层","句柄"
"房间_1CEED","1F","1","27594.397673","40632.116735","CABLE_ROOM_1F","1CEED"
"房间_1CEED","1F","2","27594.397673","35286.478017","CABLE_ROOM_1F","1CEED"
"房间_1CEED","1F","3","46079.053663","35286.478017","CABLE_ROOM_1F","1CEED"
"房间_1CEED","1F","4","46079.053663","40378.90227","CABLE_ROOM_1F","1CEED"
"房间_1CEED","1F","5","27594.397673","40632.116735","CABLE_ROOM_1F","1CEED"
"房间_1CEF2","1F","1","49297.69087","39416.6873","CABLE_ROOM_1F","1CEF2"
"房间_1CEF2","1F","2","49297.69087","35168.311266","CABLE_ROOM_1F","1CEF2"
"房间_1CEF2","1F","3","58019.522463","35168.311266","CABLE_ROOM_1F","1CEF2"
"房间_1CEF2","1F","4","58019.522463","39669.901766","CABLE_ROOM_1F","1CEF2"
"房间_1CEF2","1F","5","49297.69087","39416.6873","CABLE_ROOM_1F","1CEF2"
"房间_1CEF3","2F","1","31306.341499","27687.999869","CABLE_ROOM_2F","1CEF3"
"房间_1CEF3","2F","2","31306.341499","19500.732148","CABLE_ROOM_2F","1CEF3"
"房间_1CEF3","2F","3","41772.539411","19500.732148","CABLE_ROOM_2F","1CEF3"
"房间_1CEF3","2F","4","41772.539411","27603.595047","CABLE_ROOM_2F","1CEF3"
"房间_1CEF3","2F","5","31306.341499","27687.999869","CABLE_ROOM_2F","1CEF3"
