"柜子名称","楼层","房间","X","Y","图层","对象类型","句柄"
"","2F","","31306.341499","27687.999869","CABLE_CABINET_2F","LWPOLYLINE","1CEF1"
"","1F","","49297.69087","39416.6873","CABLE_CABINET_1F","LWPOLYLINE","1CEF0"
"","1F","","27594.397673","40632.116735","CABLE_CABINET_1F","LWPOLYLINE","1CEE9"
"火灾报警主机","2F","","35553.475495","20632.91521","CABLE_CABINET_2F","TEXT","1C27C"
"自动化舱后台插座","2F","","40356.509077","22379.564878","CABLE_CABINET_2F","TEXT","1C274"
"户外检修配电箱","1F","","36861.282819","49322.814034","CABLE_CABINET_1F","TEXT","1C273"
"户外照明配电箱","1F","","35532.685265","49270.484152","CABLE_CABINET_1F","TEXT","1C272"
"35kV预制舱动力配电箱1","1F","","56134.183743","38739.331994","CABLE_CABINET_1F","TEXT","1C271"
"35kV预制舱动力配电箱2","1F","","56134.183743","38784.757238","CABLE_CABINET_1F","TEXT","1C270"
"35kV预制舱检修配电箱","1F","","56134.183743","38825.639959","CABLE_CABINET_1F","TEXT","1C26F"
"35kV预制舱照明配电箱","1F","","56134.183743","38869.929572","CABLE_CABINET_1F","TEXT","1C26E"
"35kV预制舱事故照明","1F","","56134.183743","38914.219185","CABLE_CABINET_1F","TEXT","1C26D"
"自动化舱事故照明","2F","","36191.380785","20680.647205","CABLE_CABINET_2F","TEXT","1C26B"
"自动化舱动力配电箱","2F","","35856.547048","20640.279068","CABLE_CABINET_2F","TEXT","1C266"
"自动化舱检修配电箱","2F","","35856.547048","20682.865235","CABLE_CABINET_2F","TEXT","1C265"
"自动化舱照明配电箱","2F","","35856.547048","20725.451401","CABLE_CABINET_2F","TEXT","1C264"
"2#主变测控柜","2F","","32506.474567","24683.127925","CABLE_CABINET_2F","TEXT","1C263"
"2#主变保护柜","2F","","33306.474567","24683.127925","CABLE_CABINET_2F","TEXT","1C262"
"1#主变测控柜","2F","","34106.474567","24683.127925","CABLE_CABINET_2F","TEXT","1C261"
"1#主变保护柜","2F","","34906.474567","24683.127925","CABLE_CABINET_2F","TEXT","1C260"
"电流接地选线及电能量采集柜","2F","","35706.474567","24683.127925","CABLE_CABINET_2F","TEXT","1C25F"
"公用测控及时钟同步系统柜","2F","","36506.474567","24683.127925","CABLE_CABINET_2F","TEXT","1C25E"
"远动通信柜","2F","","37306.474567","24683.127925","CABLE_CABINET_2F","TEXT","1C25D"
"故障录波柜","2F","","32543.323296","26406.433195","CABLE_CABINET_2F","TEXT","1C255"
"UPS电源柜","2F","","33343.323296","26406.433195","CABLE_CABINET_2F","TEXT","1C254"
"交流电源柜","2F","","34143.323296","26406.433195","CABLE_CABINET_2F","TEXT","1C253"
"直流馈线柜","2F","","34943.323296","26406.433195","CABLE_CABINET_2F","TEXT","1C252"
"直流充电柜","2F","","35743.323296","26406.433195","CABLE_CABINET_2F","TEXT","1C251"
"蓄电池柜","2F","","36543.323296","26406.433195","CABLE_CABINET_2F","TEXT","1C250"
"智能辅助监控系统屏","2F","","37343.323296","26406.433195","CABLE_CABINET_2F","TEXT","1C24F"
