"路径编号","楼层","起点X","起点Y","终点X","终点Y","长度_CAD单位","图层","句柄","段号"
"R1C2F9","1F","44807.698707","41308.080979","44651.164962","46671.376458","5365.579299","CABLE_ROUTE_1F","1C2F9","1"
"R1C2F5","1F","40078.478121","46623.051402","39934.167743","41334.900583","5290.119523","CABLE_ROUTE_1F","1C2F5","1"
"R1C2F4","1F","32334.237991","41350.7847","32324.106282","46485.44287","5134.668165","CABLE_ROUTE_1F","1C2F4","1"
"R1C2C8","1F","35679.070732","50763.254918","36753.419704","50720.531867","1075.198109","CABLE_ROUTE_1F","1C2C8","1"
"R1C2C8","1F","36753.419704","50720.531867","36934.166752","49327.339616","1404.868017","CABLE_ROUTE_1F","1C2C8","2"
"R1C2C7","1F","36753.419704","50720.531867","48570.803478","50763.254918","11817.461001","CABLE_ROUTE_1F","1C2C7","1"
"R1C2C7","1F","48570.803478","50763.254918","48570.803478","41287.372178","9475.882739","CABLE_ROUTE_1F","1C2C7","2"
"R1C2C7","1F","48570.803478","41287.372178","37047.781545","41350.7847","11523.196414","CABLE_ROUTE_1F","1C2C7","3"
"R1C27D","1F","35679.070732","49280.85221","35679.070732","50763.254918","1482.402707","CABLE_ROUTE_1F","1C27D","1"
"R1C278","2F","39351.564305","22139.41443","40523.766457","22139.41443","1172.202152","CABLE_ROUTE_2F","1C278","1"
"R1C278","2F","40523.766457","22139.41443","40523.766457","22379.267086","239.852656","CABLE_ROUTE_2F","1C278","2"
"R1C26C","1F","54589.785261","36567.851235","56423.53955","36567.851235","1833.754289","CABLE_ROUTE_1F","1C26C","1"
"R1C26C","1F","56423.53955","36567.851235","56423.53955","39164.45718","2596.605945","CABLE_ROUTE_1F","1C26C","2"
"R1BDC4","2F","35618.984222","20700.789269","39351.564305","20700.789269","3732.580083","CABLE_ROUTE_2F","1BDC4","1"
"R1BDC4","2F","39351.564305","20700.789269","39351.564305","22139.41443","1438.625161","CABLE_ROUTE_2F","1BDC4","2"
"R1BDC3","2F","28728.317152","22522.201067","28728.317152","20920.039806","1602.161261","CABLE_ROUTE_2F","1BDC3","1"
"R1BDC3","2F","28728.317152","20920.039806","31782.43489","20920.039806","3054.117738","CABLE_ROUTE_2F","1BDC3","2"
"R1BDC3","2F","31782.43489","20920.039806","31782.43489","22139.41443","1219.374624","CABLE_ROUTE_2F","1BDC3","3"
"R1BDC2","2F","31782.43489","24697.31875","31782.43489","22139.41443","2557.90432","CABLE_ROUTE_2F","1BDC2","1"
"R1BDC2","2F","31782.43489","22139.41443","39351.564305","22139.41443","7569.129415","CABLE_ROUTE_2F","1BDC2","2"
"R1BDC2","2F","39351.564305","22139.41443","39351.564305","24697.31875","2557.90432","CABLE_ROUTE_2F","1BDC2","3"
"R1BDC0","2F","31782.43489","24697.31875","31782.43489","26446.70564","1749.38689","CABLE_ROUTE_2F","1BDC0","1"
"R1BDBC","2F","28707.20543","25616.125757","28707.20543","27330.059416","1713.933659","CABLE_ROUTE_2F","1BDBC","1"
"R1BDBC","2F","28707.20543","27330.059416","31782.43489","27330.059416","3075.22946","CABLE_ROUTE_2F","1BDBC","2"
"R1BDBC","2F","31782.43489","27330.059416","31782.43489","26446.70564","883.353776","CABLE_ROUTE_2F","1BDBC","3"
"R1BDBC","2F","31782.43489","26446.70564","39351.564305","26446.70564","7569.129415","CABLE_ROUTE_2F","1BDBC","4"
"R1BDBC","2F","39351.564305","26446.70564","39351.564305","24697.31875","1749.38689","CABLE_ROUTE_2F","1BDBC","5"
"R1BDBC","2F","39351.564305","24697.31875","31782.43489","24697.31875","7569.129415","CABLE_ROUTE_2F","1BDBC","6"
"R1BDBB","1F","37094.504241","36567.851235","54589.785261","36567.851235","17495.281021","CABLE_ROUTE_1F","1BDBB","1"
"R1BDBA","1F","37094.504241","36567.851235","28753.37582","36515.777585","8341.290967","CABLE_ROUTE_1F","1BDBA","1"
"R1BDBA","1F","28753.37582","36515.777585","26858.928383","36796.984626","1915.204556","CABLE_ROUTE_1F","1BDBA","2"
"R1BDBA","1F","26858.928383","36796.984626","20550.164699","36796.984626","6308.763684","CABLE_ROUTE_1F","1BDBA","3"
"R1BDB5","1F","37047.781545","39212.873705","37094.504241","36567.851235","2645.435101","CABLE_ROUTE_1F","1BDB5","1"
"R1BDB4","1F","37047.781545","39212.873705","45989.120978","39212.873705","8941.339432","CABLE_ROUTE_1F","1BDB4","1"
"R1BDB3","1F","27705.566213","46471.556466","27661.471086","41350.7847","5120.961615","CABLE_ROUTE_1F","1BDB3","1"
"R1BDB3","1F","27661.471086","41350.7847","37047.781545","41350.7847","9386.31046","CABLE_ROUTE_1F","1BDB3","2"
"R1BDB3","1F","37047.781545","41350.7847","37047.781545","39212.873705","2137.910996","CABLE_ROUTE_1F","1BDB3","3"
"R1BDB3","1F","37047.781545","39212.873705","28731.69857","39212.873705","8316.082976","CABLE_ROUTE_1F","1BDB3","4"
"R1BDB3","1F","28731.69857","39212.873705","27571.214197","38909.762115","1199.416781","CABLE_ROUTE_1F","1BDB3","5"
"R1BDB3","1F","27571.214197","38909.762115","20565.006306","39039.667082","7007.412098","CABLE_ROUTE_1F","1BDB3","6"
