柜子名称,清册出现次数,已提供坐标,楼层,X,Y,近似CAD柜名建议
1#主变保护柜,37,是,2F,34906.474567,24683.127925,
公用测控及时钟同步系统柜,36,是,2F,36506.474567,24683.127925,
电流接地选线及电能量采集柜,35,是,2F,35706.474567,24683.127925,
2#主变保护柜,33,是,2F,33306.474567,24683.127925,
故障录波柜,32,是,2F,32543.323296,26406.433195,
1#主变测控柜,28,是,2F,34106.474567,24683.127925,
2#主变测控柜,27,是,2F,32506.474567,24683.127925,
交流电源柜,26,是,2F,34143.323296,26406.433195,
直流馈线柜,25,是,2F,34943.323296,26406.433195,
10kV1#PT柜,22,是,1F,30370.606584,39414.759457,
10kV2#PT柜,21,是,1F,42661.482464,39425.610722,
35kV1#主变进线柜,16,是,1F,49944.456995,36781.99917,
10kV1#主变进线柜,15,是,1F,29262.693127,39391.501731,
35kVPT柜,14,是,1F,53041.963127,36793.892325,
10kV1#分段开关柜,13,是,1F,32384.507547,39408.71377,
10kV3#PT柜,13,是,1F,44365.658581,36464.466162,
35kV2#主变进线柜,13,是,1F,51470.745213,36763.498707,
10kV2#主变进线柜,12,是,1F,41759.564233,39421.439858,
远动通信柜,11,是,2F,37306.474567,24683.127925,
10kV备用电源进线柜,10,是,1F,45161.068809,36464.466162,
UPS电源柜,10,是,2F,33343.323296,26406.433195,
10kV2#分段开关柜,9,是,1F,39467.70982,36460.799106,
10kV张东10KV开闭所开关柜,9,是,1F,44373.002441,39389.448097,
10kV1#电容器柜,8,是,1F,29358.711415,36485.023728,
10kV1#站用变柜,8,是,1F,30365.136616,36518.060269,
10kV2#站用变柜,8,是,1F,34388.960059,39389.202388,
10kV1#电容器组,7,是,1F,20409.239987,36750.802272,
10kV2#电容器柜,7,是,1F,33664.799069,39399.509789,
10kV2#电容器组,7,是,1F,20409.239987,39042.597372,
10kV1#备用电源馈线柜,6,是,1F,41697.022249,36464.466162,
10kV1-1#预留馈线柜,6,是,1F,31450.056639,36518.060269,
10kV1-2#预留馈线柜,6,是,1F,32336.757414,36518.060269,
10kV1-3#预留馈线柜,6,是,1F,33615.932301,36492.952498,
10kV1-4#预留馈线柜,6,是,1F,34379.737141,36518.060269,
10kV2#备用电源馈线柜,6,是,1F,42545.400635,36464.466162,
10kV2-1#预留馈线柜,6,是,1F,35196.274024,39372.551971,
10kV2-2#预留馈线柜,6,是,1F,36034.989222,39391.659481,
10kV2-3#预留馈线柜,6,是,1F,37784.42276,39381.579206,
10kV2-4#预留馈线柜,6,是,1F,38682.327567,39421.592136,
10kV3#备用电源馈线柜,6,是,1F,43550.207045,36464.466162,
10kV水泥粉磨配电站,6,是,1F,37750.257252,36460.973126,
10kV烧成配电站一段,6,是,1F,38519.843487,36460.973126,
10kV烧成配电站二段,6,是,1F,40834.037263,39434.282814,
10kV硫酸变配电室一段,6,是,1F,35982.670135,36496.916883,
10kV硫酸变配电室二段,6,是,1F,43479.694358,39393.102765,
35kV出线柜,6,是,1F,54124.240227,36793.892325,
10kV石膏烘干配电站,5,是,1F,39569.728819,39427.807652,
10kV硫酸变配电室三段,5,是,1F,35201.686294,36496.916883,
1#主变本体端子箱,4,是,1F,27568.916201,46389.190709,
10kV1#站用变,4,是,2F,28603.95094,22540.37807,
10kV2#站用变,4,是,2F,28534.072048,25557.962201,
2#主变本体端子箱,4,是,1F,39987.217622,46509.854165,
1#主变有载开关,3,是,1F,32190.966246,46475.901302,
2#主变有载开关,3,是,1F,44503.07401,46498.055395,
火灾报警主机,3,是,2F,35553.475495,20632.91521,
直流充电柜,3,是,2F,35743.323296,26406.433195,
10kV1#分段隔离柜,2,是,1F,31336.595057,39411.059364,
10kV2#分段隔离柜,2,是,1F,40493.170676,36464.466162,
35kV预制舱事故照明,1,是,1F,56134.183743,38914.219185,
35kV预制舱动力配电箱1,1,是,1F,56134.183743,38739.331994,
35kV预制舱动力配电箱2,1,是,1F,56134.183743,38784.757238,
35kV预制舱检修配电箱,1,是,1F,56134.183743,38825.639959,
35kV预制舱照明配电箱,1,是,1F,56134.183743,38869.929572,
户外检修配电箱,1,是,1F,36861.282819,49322.814034,
户外照明配电箱,1,是,1F,35532.685265,49270.484152,
智能辅助监控系统屏,1,是,2F,37343.323296,26406.433195,
本柜1YD端子排,1,否,,,,
自动化舱事故照明,1,是,2F,36191.380785,20680.647205,
自动化舱动力配电箱,1,是,2F,35856.547048,20640.279068,
自动化舱后台插座,1,是,2F,40356.509077,22379.564878,
自动化舱检修配电箱,1,是,2F,35856.547048,20682.865235,
自动化舱照明配电箱,1,是,2F,35856.547048,20725.451401,
