行号,电缆编号,起点,终点,起点房间,终点房间,跨房间,手工长度,自动统计,向上取整,差值,基础路径长度,修正量,规则,状态,路径说明
2,DS-01,公用测控及时钟同步系统柜,远动通信柜,房间_1CEF3,房间_1CEF3,否,8,7.8,8,-0.2,0.828,6.972,路径不拐弯 +7,OK,R1BDBC:6
3,DS-02,公用测控及时钟同步系统柜,故障录波柜,房间_1CEF3,房间_1CEF3,否,18,17.1,18,-0.9,7.289,9.811,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4
4,DS-03,公用测控及时钟同步系统柜,35kVPT柜,房间_1CEF3,房间_1CEF2,是,43,45.4,46,2.4,28.37,17.03,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBB:1；竖井：ZJ2
5,DS-04,公用测控及时钟同步系统柜,1#主变保护柜,房间_1CEF3,房间_1CEF3,否,9,8.6,9,-0.4,1.628,6.972,路径不拐弯 +7,OK,R1BDBC:6
6,DS-05,公用测控及时钟同步系统柜,2#主变保护柜,房间_1CEF3,房间_1CEF3,否,11,10.2,11,-0.8,3.228,6.972,路径不拐弯 +7,OK,R1BDBC:6
7,DS-06,公用测控及时钟同步系统柜,10kV张东10KV开闭所开关柜,房间_1CEF3,房间_1CEED,是,33,34.8,35,1.8,19.506,15.294,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB4:1；竖井：ZJ1
8,DS-07,公用测控及时钟同步系统柜,10kV2-4#预留馈线柜,房间_1CEF3,房间_1CEED,是,29,28.0,28,-1.0,13.848,14.152,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB4:1；竖井：ZJ1
9,DS-08,公用测控及时钟同步系统柜,10kV2#电容器柜,房间_1CEF3,房间_1CEED,是,31,30.1,31,-0.9,15.574,14.526,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
10,DS-09,公用测控及时钟同步系统柜,10kV1-1#预留馈线柜,房间_1CEF3,房间_1CEED,是,31,32.8,33,1.8,17.809,14.991,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1；竖井：ZJ2
11,DS-10,公用测控及时钟同步系统柜,10kV硫酸变配电室一段,房间_1CEF3,房间_1CEED,是,28,27.4,28,-0.6,13.326,14.074,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1；竖井：ZJ2
12,DS-11,公用测控及时钟同步系统柜,10kV1#备用电源馈线柜,房间_1CEF3,房间_1CEED,是,33,31.7,32,-1.3,16.902,14.798,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBB:1；竖井：ZJ2
13,DS-12,公用测控及时钟同步系统柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,10,9.4,10,-0.6,2.428,6.972,路径不拐弯 +7,OK,R1BDBC:6
14,DS-13,公用测控及时钟同步系统柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,11,11.0,11,0.0,4.028,6.972,路径不拐弯 +7,OK,R1BDBC:6
15,DS-101,35kVPT柜,35kV出线柜,房间_1CEF2,房间_1CEF2,否,9,8.5,9,-0.5,1.534,6.966,路径不拐弯 +7,OK,R1BDBB:1
16,DS-101,35kVPT柜,35kV出线柜,房间_1CEF2,房间_1CEF2,否,9,8.5,9,-0.5,1.534,6.966,路径不拐弯 +7,OK,R1BDBB:1
17,DS-102,10kV张东10KV开闭所开关柜,10kV硫酸变配电室二段,房间_1CEED,房间_1CEED,否,9,8.3,9,-0.7,1.25,7.05,路径不拐弯 +7,OK,R1BDB4:1
18,DS-103,10kV硫酸变配电室二段,10kV2#PT柜,房间_1CEED,房间_1CEED,否,9,8.2,9,-0.8,1.211,6.989,路径不拐弯 +7,OK,R1BDB4:1
19,DS-104,10kV2#PT柜,10kV烧成配电站二段,房间_1CEED,房间_1CEED,否,10,9.3,10,-0.7,2.262,7.038,路径不拐弯 +7,OK,R1BDB4:1
20,DS-105,10kV烧成配电站二段,10kV石膏烘干配电站,房间_1CEED,房间_1CEED,否,9,8.7,9,-0.3,1.701,6.999,路径不拐弯 +7,OK,R1BDB4:1
21,DS-106,10kV2-4#预留馈线柜,10kV2-3#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.3,9,-0.7,1.275,7.025,路径不拐弯 +7,OK,R1BDB4:1
22,DS-107,10kV2-3#预留馈线柜,10kV2-2#预留馈线柜,房间_1CEED,房间_1CEED,否,10,9.1,10,-0.9,2.097,7.003,路径不拐弯 +7,OK,R1BDB4:1 -> R1BDB3:4
23,DS-108,10kV2-2#预留馈线柜,10kV2-1#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.2,9,-0.8,1.177,7.023,路径不拐弯 +7,OK,R1BDB3:4
24,DS-109,10kV2-1#预留馈线柜,10kV2#站用变柜,房间_1CEED,房间_1CEED,否,9,8.1,9,-0.9,1.143,6.957,路径不拐弯 +7,OK,R1BDB3:4
25,DS-110,10kV2#电容器柜,10kV1#分段开关柜,房间_1CEED,房间_1CEED,否,9,8.7,9,-0.3,1.663,7.037,路径不拐弯 +7,OK,R1BDB3:4
26,DS-111,10kV1#分段开关柜,10kV1#PT柜,房间_1CEED,房间_1CEED,否,10,9.4,10,-0.6,2.412,6.988,路径不拐弯 +7,OK,R1BDB3:4
27,DS-112,10kV1#PT柜,10kV1#电容器柜,房间_1CEED,房间_1CEED,否,30,29.2,30,-0.8,17.295,11.905,路径拐弯/跨楼层（+7）×1.2,OK,R1BDB3:4 -> R1BDB5:1 -> R1BDBA:1
28,DS-113,10kV1#电容器柜,10kV1#站用变柜,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,1.049,6.951,路径不拐弯 +7,OK,R1BDBA:1
29,DS-114,10kV1-1#预留馈线柜,10kV1-2#预留馈线柜,房间_1CEED,房间_1CEED,否,8,7.9,8,-0.1,0.921,6.979,路径不拐弯 +7,OK,R1BDBA:1
30,DS-115,10kV1-2#预留馈线柜,10kV1-3#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.4,9,-0.6,1.352,7.048,路径不拐弯 +7,OK,R1BDBA:1
31,DS-116,10kV1-3#预留馈线柜,10kV1-4#预留馈线柜,房间_1CEED,房间_1CEED,否,8,7.8,8,-0.2,0.85,6.95,路径不拐弯 +7,OK,R1BDBA:1
32,DS-117,10kV1-4#预留馈线柜,10kV硫酸变配电室三段,房间_1CEED,房间_1CEED,否,8,7.9,8,-0.1,0.914,6.986,路径不拐弯 +7,OK,R1BDBA:1
33,DS-118,10kV硫酸变配电室一段,10kV水泥粉磨配电站,房间_1CEED,房间_1CEED,否,9,8.9,9,-0.1,1.939,6.961,路径不拐弯 +7,OK,R1BDBA:1 -> R1BDBB:1
34,DS-119,10kV水泥粉磨配电站,10kV烧成配电站一段,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,0.983,7.017,路径不拐弯 +7,OK,R1BDBB:1
35,DS-120,10kV烧成配电站一段,10kV2#分段开关柜,房间_1CEED,房间_1CEED,否,9,8.2,9,-0.8,1.162,7.038,路径不拐弯 +7,OK,R1BDBB:1
36,DS-121,10kV1#备用电源馈线柜,10kV2#备用电源馈线柜,房间_1CEED,房间_1CEED,否,9,8.1,9,-0.9,1.055,7.045,路径不拐弯 +7,OK,R1BDBB:1
37,DS-122,10kV2#备用电源馈线柜,10kV3#备用电源馈线柜,房间_1CEED,房间_1CEED,否,9,8.2,9,-0.8,1.212,6.988,路径不拐弯 +7,OK,R1BDBB:1
38,DS-123,10kV3#备用电源馈线柜,10kV3#PT柜,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,1.022,6.978,路径不拐弯 +7,OK,R1BDBB:1
39,DS-124,10kV3#PT柜,10kV备用电源进线柜,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,1.002,6.998,路径不拐弯 +7,OK,R1BDBB:1
40,CD-151,远动通信柜,直流充电柜,房间_1CEF3,房间_1CEF3,否,18,17.3,18,-0.7,7.457,9.843,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4
41,DN-151,远动通信柜,电流接地选线及电能量采集柜,房间_1CEF3,房间_1CEF3,否,9,8.6,9,-0.4,1.628,6.972,路径不拐弯 +7,OK,R1BDBC:6
42,1SR-151,远动通信柜,10kV1#电容器组,房间_1CEF3,,是,43,45.1,46,2.1,28.063,17.037,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBA:2 -> R1BDBA:3；竖井：ZJ2
43,2SR-151,远动通信柜,10kV2#电容器组,房间_1CEF3,,是,43,44.9,45,1.9,27.883,17.017,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4 -> R1BDB3:5 -> R1BDB3:6；竖井：ZJ1
44,1ZYB-151,远动通信柜,10kV1#站用变,房间_1CEF3,,是,29,28.3,29,-0.7,14.097,14.203,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:1 -> R1BDC3:3 -> R1BDC3:2 -> R1BDC3:1
45,2ZYB-151,远动通信柜,10kV2#站用变,房间_1CEF3,,是,28,27.2,28,-0.8,13.143,14.057,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:3 -> R1BDBC:2 -> R1BDBC:1
46,DB-101,电流接地选线及电能量采集柜,35kV1#主变进线柜,房间_1CEF3,房间_1CEF2,是,41,42.7,43,1.7,26.061,16.639,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDC2:3 -> R1BDC2:2 -> R1BDBA:1 -> R1BDBB:1；竖井：ZJ2
47,DB-102,35kV1#主变进线柜,35kV2#主变进线柜,房间_1CEF2,房间_1CEF2,否,9,8.9,9,-0.1,1.936,6.964,路径不拐弯 +7,OK,R1BDBB:1
48,DB-103,35kV2#主变进线柜,35kV出线柜,房间_1CEF2,房间_1CEF2,否,11,10.1,11,-0.9,3.075,7.025,路径不拐弯 +7,OK,R1BDBB:1
49,DB-104,电流接地选线及电能量采集柜,10kV张东10KV开闭所开关柜,房间_1CEF3,房间_1CEED,是,34,35.8,36,1.8,20.306,15.494,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB4:1；竖井：ZJ1
50,DB-105,10kV张东10KV开闭所开关柜,10kV硫酸变配电室二段,房间_1CEED,房间_1CEED,否,9,8.3,9,-0.7,1.25,7.05,路径不拐弯 +7,OK,R1BDB4:1
51,DB-106,10kV硫酸变配电室二段,10kV2#主变进线柜,房间_1CEED,房间_1CEED,否,10,9.1,10,-0.9,2.109,6.991,路径不拐弯 +7,OK,R1BDB4:1
52,DB-107,10kV2#主变进线柜,10kV烧成配电站二段,房间_1CEED,房间_1CEED,否,9,8.4,9,-0.6,1.356,7.044,路径不拐弯 +7,OK,R1BDB4:1
53,DB-108,10kV烧成配电站二段,10kV石膏烘干配电站,房间_1CEED,房间_1CEED,否,9,8.7,9,-0.3,1.701,6.999,路径不拐弯 +7,OK,R1BDB4:1
54,DB-109,10kV石膏烘干配电站,10kV2-4#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.3,9,-0.7,1.311,6.989,路径不拐弯 +7,OK,R1BDB4:1
55,DB-110,10kV2-4#预留馈线柜,10kV2-3#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.3,9,-0.7,1.275,7.025,路径不拐弯 +7,OK,R1BDB4:1
56,DB-111,10kV2-3#预留馈线柜,10kV2-2#预留馈线柜,房间_1CEED,房间_1CEED,否,10,9.1,10,-0.9,2.097,7.003,路径不拐弯 +7,OK,R1BDB4:1 -> R1BDB3:4
57,DB-112,10kV2-2#预留馈线柜,10kV2-1#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.2,9,-0.8,1.177,7.023,路径不拐弯 +7,OK,R1BDB3:4
58,DB-113,10kV2-1#预留馈线柜,10kV2#站用变柜,房间_1CEED,房间_1CEED,否,9,8.1,9,-0.9,1.143,6.957,路径不拐弯 +7,OK,R1BDB3:4
59,DB-114,10kV2#站用变柜,10kV2#电容器柜,房间_1CEED,房间_1CEED,否,9,8.1,9,-0.9,1.087,7.013,路径不拐弯 +7,OK,R1BDB3:4
60,DB-115,电流接地选线及电能量采集柜,10kV1#主变进线柜,房间_1CEF3,房间_1CEED,是,34,36.3,37,2.3,20.768,15.532,路径拐弯/跨楼层（+7）×1.2；跨房间 +3,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4 -> R1BDB3:3 -> R1BDB3:4；竖井：ZJ1
61,DB-116,10kV1#主变进线柜,10kV1#电容器柜,房间_1CEED,房间_1CEED,否,31,30.5,31,-0.5,18.38,12.12,路径拐弯/跨楼层（+7）×1.2,OK,R1BDB3:4 -> R1BDB5:1 -> R1BDBA:1
62,DB-117,10kV1#电容器柜,10kV1#站用变柜,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,1.049,6.951,路径不拐弯 +7,OK,R1BDBA:1
63,DB-118,10kV1#站用变柜,10kV1-1#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.1,9,-0.9,1.107,6.993,路径不拐弯 +7,OK,R1BDBA:1
64,DB-119,10kV1-1#预留馈线柜,10kV1-2#预留馈线柜,房间_1CEED,房间_1CEED,否,8,7.9,8,-0.1,0.921,6.979,路径不拐弯 +7,OK,R1BDBA:1
65,DB-120,10kV1-2#预留馈线柜,10kV1-3#预留馈线柜,房间_1CEED,房间_1CEED,否,9,8.4,9,-0.6,1.352,7.048,路径不拐弯 +7,OK,R1BDBA:1
66,DB-121,10kV1-3#预留馈线柜,10kV1-4#预留馈线柜,房间_1CEED,房间_1CEED,否,8,7.8,8,-0.2,0.85,6.95,路径不拐弯 +7,OK,R1BDBA:1
67,DB-122,10kV1-4#预留馈线柜,10kV硫酸变配电室三段,房间_1CEED,房间_1CEED,否,8,7.9,8,-0.1,0.914,6.986,路径不拐弯 +7,OK,R1BDBA:1
68,DB-123,10kV硫酸变配电室三段,10kV硫酸变配电室一段,房间_1CEED,房间_1CEED,否,8,7.9,8,-0.1,0.904,6.996,路径不拐弯 +7,OK,R1BDBA:1
69,DB-124,10kV硫酸变配电室一段,10kV水泥粉磨配电站,房间_1CEED,房间_1CEED,否,9,8.9,9,-0.1,1.939,6.961,路径不拐弯 +7,OK,R1BDBA:1 -> R1BDBB:1
70,DB-125,10kV水泥粉磨配电站,10kV烧成配电站一段,房间_1CEED,房间_1CEED,否,8,8.0,8,0.0,0.983,7.017,路径不拐弯 +7,OK,R1BDBB:1
71,DB-126,10kV烧成配电站一段,10kV1#备用电源馈线柜,房间_1CEED,房间_1CEED,否,11,10.4,11,-0.6,3.387,7.013,路径不拐弯 +7,OK,R1BDBB:1
72,DB-127,10kV1#备用电源馈线柜,10kV2#备用电源馈线柜,房间_1CEED,房间_1CEED,否,9,8.1,9,-0.9,1.055,7.045,路径不拐弯 +7,OK,R1BDBB:1
73,DB-128,10kV2#备用电源馈线柜,10kV3#备用电源馈线柜,房间_1CEED,房间_1CEED,否,9,8.2,9,-0.8,1.212,6.988,路径不拐弯 +7,OK,R1BDBB:1
74,DB-129,10kV3#备用电源馈线柜,10kV备用电源进线柜,房间_1CEED,房间_1CEED,否,9,8.8,9,-0.2,1.818,6.982,路径不拐弯 +7,OK,R1BDBB:1
75,1BC-131,公用测控及时钟同步系统柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,10,9.4,10,-0.6,2.428,6.972,路径不拐弯 +7,OK,R1BDBC:6
76,2BC-131,公用测控及时钟同步系统柜,2#主变测控柜,房间_1CEF3,房间_1CEF3,否,11,11.0,11,0.0,4.028,6.972,路径不拐弯 +7,OK,R1BDBC:6
77,CD-131,公用测控及时钟同步系统柜,直流充电柜,房间_1CEF3,房间_1CEF3,否,19,18.3,19,-0.7,8.257,10.043,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDBC:5 -> R1BDBC:4
78,CK-131,公用测控及时钟同步系统柜,1#主变测控柜,房间_1CEF3,房间_1CEF3,否,10,9.4,10,-0.6,2.428,6.972,路径不拐弯 +7,OK,R1BDBC:6
79,CK-231,公用测控及时钟同步系统柜,交流电源柜,房间_1CEF3,房间_1CEF3,否,20,19.1,20,-0.9,8.889,10.211,路径拐弯/跨楼层（+7）×1.2,OK,R1BDBC:6 -> R1BDC0:1 -> R1BDBC:4
